iter	RMSE
0	2.390321655
1	2.302233055
2	2.211662405
3	2.124990671
4	2.048596799
5	1.968871433
6	1.892234666
7	1.82283495
8	1.760075874
9	1.697203236
10	1.635364587
11	1.577151599
12	1.520710516
13	1.467056773
14	1.421117228
15	1.373971821
16	1.324013522
17	1.278192695
18	1.235125139
19	1.192355483
20	1.153632705
21	1.116656905
22	1.080935128
23	1.047402709
24	1.01713894
25	0.9828607899
26	0.9520124489
27	0.9186613269
28	0.8898649785
29	0.8626492269
30	0.8357511543
31	0.8112058184
32	0.7852789674
33	0.7630017245
34	0.7390909645
35	0.7191828342
36	0.6977265545
37	0.6773444318
38	0.6573869702
39	0.6400891957
40	0.624490731
41	0.60782319
42	0.5919688382
43	0.578592423
44	0.5638534152
45	0.5508623537
46	0.5366770564
47	0.5238338139
48	0.5118239646
49	0.4992054194
50	0.4883769952
51	0.4774488721
52	0.4672014679
53	0.4575940882
54	0.4477439584
55	0.4394193488
56	0.4326007769
57	0.4236112434
58	0.4155489901
59	0.4097281995
60	0.4033210918
61	0.3967123844
62	0.3897343402
63	0.3827345869
64	0.3767769107
65	0.3708474349
66	0.3656297561
67	0.3604789841
68	0.3551336565
69	0.3500222308
70	0.3461412234
71	0.3416519487
72	0.3376461234
73	0.3325923811
74	0.3286066666
75	0.3253767414
76	0.3211475711
77	0.3175350021
78	0.3139707369
79	0.3100383045
80	0.3061925795
81	0.3035020438
82	0.3010128041
83	0.2981826358
84	0.2950572688
85	0.2926119426
86	0.2906856115
87	0.2892224037
88	0.2878025964
89	0.2860988493
90	0.2845750596
91	0.2830906593
92	0.2814163396
93	0.2796817488
94	0.2775667732
95	0.276253248
96	0.2741092847
97	0.2731474947
98	0.2709996187
99	0.2689582194
100	0.2679531748
101	0.2671543192
102	0.2652637702
103	0.2630192764
104	0.2618051724
105	0.2605340013
106	0.2593554056
107	0.2583005074
108	0.2575781462
109	0.2560288849
110	0.2547247615
111	0.2536386371
112	0.2529684056
113	0.2517181298
114	0.2507577058
115	0.2490918956
116	0.2481396294
117	0.2475727337
118	0.2464113885
119	0.2455523005
120	0.2443094204
121	0.2430561082
122	0.2414516568
123	0.2407420981
124	0.2400631697
125	0.2391251426
126	0.2381978579
127	0.2376791906
128	0.2371611238
129	0.2357690344
130	0.2351443014
131	0.2340835905
132	0.2331920953
133	0.2322138778
134	0.2309399853
135	0.2302446475
136	0.2294962503
137	0.2291093917
138	0.2279133718
139	0.2273716761
140	0.2263719156
141	0.225327528
142	0.224614494
143	0.2240217489
144	0.2233524819
145	0.2224367369
146	0.2211455202
147	0.220361925
148	0.2191723537
149	0.2181944865
150	0.2176763908
151	0.2171534292
152	0.216280867
153	0.2155545165
154	0.2143548179
155	0.2135477012
156	0.2129447692
157	0.2124372757
158	0.2119098185
159	0.2112628142
160	0.2100884326
161	0.2096283344
162	0.2090170845
163	0.208311704
164	0.2073743629
165	0.2067104405
166	0.2058792758
167	0.2053116538
168	0.2044622253
169	0.2040541192
170	0.2034806998
171	0.2030512738
172	0.2028302935
173	0.2025277543
174	0.2021090148
175	0.2016452646
176	0.2006980796
177	0.2003293501
178	0.1995274949
179	0.1991031685
180	0.1987058657
181	0.1983536091
182	0.1973372242
183	0.1967090202
184	0.1959805951
185	0.1953627488
186	0.1947950687
187	0.1944019286
188	0.1939668781
189	0.1934358278
190	0.1930530035
191	0.1925789128
192	0.1914379817
193	0.1907947011
194	0.1903725083
195	0.1896743428
196	0.1891000457
197	0.188078788
198	0.1875937504
199	0.187149196
200	0.1864665664
201	0.1861990047
202	0.1857744744
203	0.1854639991
204	0.1846512391
205	0.1842212452
206	0.1834293324
207	0.1827450389
208	0.1824361472
209	0.1819579127
210	0.1813588658
211	0.1809932072
212	0.1807040254
213	0.1800746094
214	0.1795209924
215	0.1793398712
216	0.179054722
217	0.1787247094
218	0.1784530919
219	0.1780891982
220	0.1774205705
221	0.1771332694
222	0.176901078
223	0.1762914833
224	0.1758271381
225	0.1753813091
226	0.1748270493
227	0.1740529524
228	0.1735419098
229	0.1730472309
230	0.1724709651
231	0.1721932866
232	0.1719266405
233	0.1717231816
234	0.1714679827
235	0.1710820849
236	0.1705840275
237	0.1701544527
238	0.1693710356
239	0.1687524919
240	0.1680127063
241	0.1674371976
242	0.166908195
243	0.1663148962
244	0.165989639
245	0.1655009657
246	0.1652196364
247	0.1647026384
248	0.1642703839
249	0.1638469338
250	0.1634252466
251	0.163047017
252	0.1623951016
253	0.1621832603
254	0.1618284207
255	0.1615805895
256	0.1614054802
257	0.1611769042
258	0.1607379113
259	0.160343918
260	0.1598083469
261	0.1594812842
262	0.1591766678
263	0.1590081068
264	0.1586610695
265	0.1584153628
266	0.1581379045
267	0.1577382336
268	0.1575595398
269	0.1571470527
270	0.1569527715
271	0.1567139694
272	0.156403829
273	0.1560568337
274	0.1558670464
275	0.1554487786
276	0.1552699372
277	0.1550228397
278	0.1547760181
279	0.1545344695
280	0.1544042035
281	0.1540532741
282	0.1538202485
283	0.1536668648
284	0.1534590672
285	0.1533269671
286	0.1529917689
287	0.1527220465
288	0.1524024993
289	0.1522095864
290	0.1519804048
291	0.1517962062
292	0.1513388576
293	0.1511796135
294	0.1508951522
295	0.1507562452
296	0.1503087098
297	0.1499864118
298	0.1495798591
299	0.1493855222
300	0.1490818794
301	0.1489133795
302	0.1485154618
303	0.1484090363
304	0.1481505607
305	0.1479860228
306	0.1477425127
307	0.1475793133
308	0.147322832
309	0.1472138837
310	0.1467862919
311	0.1466252408
312	0.1462736118
313	0.1461511134
314	0.1459833545
315	0.1458020637
316	0.1454979528
317	0.1452830541
318	0.1449796971
319	0.1446457817
320	0.1443099142
321	0.1439802961
322	0.1437826298
323	0.1436573831
324	0.1434731909
325	0.1432584834
326	0.1431110144
327	0.1429146026
328	0.1427189392
329	0.1425154922
330	0.142305585
331	0.1421819966
332	0.1420541478
333	0.1419063769
334	0.1418152772
335	0.1414843444
