iter	Passed	Remaining
0	3	3010
1	6	3195
2	9	3068
3	12	3088
4	15	3143
5	19	3166
6	22	3155
7	25	3114
8	27	3048
9	30	3014
10	33	2997
11	36	2990
12	39	2965
13	41	2929
14	44	2931
15	47	2911
16	50	2921
17	53	2903
18	56	2897
19	58	2882
20	61	2877
21	64	2864
22	67	2858
23	70	2851
24	72	2841
25	75	2832
26	78	2831
27	81	2830
28	84	2837
29	87	2828
30	90	2819
31	92	2810
32	95	2804
33	98	2801
34	101	2797
35	104	2789
36	107	2788
37	110	2785
38	113	2785
39	115	2782
40	118	2768
41	121	2760
42	123	2750
43	126	2738
44	128	2725
45	130	2716
46	133	2703
47	135	2690
48	138	2681
49	140	2672
50	143	2666
51	145	2658
52	148	2657
53	151	2649
54	153	2642
55	156	2637
56	158	2628
57	161	2618
58	163	2612
59	166	2603
60	168	2594
61	171	2589
62	173	2582
63	176	2575
64	178	2569
65	181	2566
66	184	2562
67	186	2555
68	188	2548
69	191	2543
70	193	2536
71	196	2533
72	198	2526
73	201	2522
74	204	2518
75	206	2514
76	209	2510
77	212	2508
78	215	2506
79	217	2503
80	220	2500
81	223	2497
82	225	2491
83	227	2486
84	230	2481
85	233	2479
86	235	2476
87	238	2472
88	241	2468
89	243	2465
90	246	2463
91	249	2461
92	252	2460
93	254	2457
94	257	2452
95	259	2446
96	262	2441
97	264	2436
98	267	2434
99	270	2430
100	272	2427
101	275	2423
102	277	2420
103	280	2417
104	283	2413
105	286	2413
106	288	2407
107	290	2403
108	294	2404
109	296	2400
110	299	2398
111	302	2395
112	304	2391
113	307	2389
114	310	2386
115	312	2383
116	315	2379
117	317	2374
118	320	2371
119	323	2368
120	326	2368
121	328	2366
122	331	2363
123	334	2361
124	336	2358
125	339	2356
126	342	2352
127	344	2348
128	347	2344
129	349	2341
130	352	2337
131	355	2334
132	357	2331
133	360	2328
134	362	2324
135	365	2320
136	368	2318
137	370	2316
138	373	2314
139	376	2311
140	378	2308
141	381	2305
142	384	2303
143	386	2299
144	389	2296
145	392	2294
146	394	2290
147	397	2289
148	400	2287
149	403	2285
150	405	2282
151	408	2280
152	411	2276
153	413	2273
154	416	2271
155	419	2268
156	421	2264
157	424	2261
158	427	2259
159	429	2256
160	432	2253
161	435	2250
162	437	2248
163	440	2244
164	443	2242
165	445	2239
166	448	2236
167	451	2233
168	453	2230
169	456	2227
170	459	2227
171	462	2224
172	464	2221
173	467	2218
174	470	2216
175	472	2212
176	475	2209
177	478	2208
178	481	2206
179	483	2203
180	486	2200
181	489	2199
182	492	2197
183	495	2195
184	497	2193
185	500	2191
186	503	2189
187	506	2188
188	509	2186
189	512	2186
190	515	2183
191	518	2181
192	521	2179
193	524	2177
194	526	2174
195	529	2171
196	532	2168
197	535	2167
198	537	2165
199	540	2162
200	543	2159
201	546	2159
202	549	2157
203	552	2154
204	554	2151
205	557	2149
206	560	2146
207	563	2143
208	565	2141
209	568	2138
210	570	2134
211	573	2131
212	575	2127
213	578	2125
214	581	2123
215	584	2121
216	587	2119
217	589	2115
218	592	2112
219	594	2108
220	597	2104
221	599	2102
222	602	2098
223	604	2095
224	607	2092
225	610	2089
226	612	2087
227	615	2084
228	618	2081
229	620	2078
230	623	2075
231	626	2072
232	628	2069
233	631	2066
234	634	2063
235	636	2060
236	639	2058
237	641	2055
238	644	2051
239	647	2049
240	649	2046
241	652	2044
242	655	2041
243	658	2039
244	660	2036
245	663	2032
246	665	2028
247	667	2025
248	670	2021
249	673	2019
250	675	2015
251	678	2012
252	681	2010
253	683	2008
254	686	2006
255	689	2003
256	692	2000
257	694	1997
258	697	1994
259	699	1990
260	702	1988
261	705	1985
262	707	1982
263	709	1979
264	712	1976
265	714	1972
266	717	1970
267	720	1967
268	723	1965
269	725	1962
270	728	1959
271	731	1956
272	733	1953
273	735	1949
274	738	1946
275	740	1943
276	743	1940
277	746	1938
278	748	1935
279	751	1932
280	753	1929
281	756	1926
282	759	1924
283	762	1921
284	764	1919
285	767	1915
286	769	1912
287	772	1909
288	775	1906
289	777	1904
290	780	1901
291	782	1898
292	785	1895
293	788	1892
294	790	1889
295	793	1887
296	796	1884
297	798	1881
298	801	1878
299	803	1875
300	806	1872
301	808	1869
302	811	1866
303	813	1862
304	815	1859
305	817	1855
306	820	1851
307	822	1847
308	824	1844
309	826	1840
310	829	1837
311	831	1833
312	833	1829
313	835	1825
314	838	1822
315	840	1819
316	842	1815
317	844	1811
318	846	1807
319	848	1803
320	851	1800
321	853	1796
322	855	1792
323	857	1789
324	860	1786
325	862	1782
326	864	1779
327	867	1776
328	869	1772
329	871	1769
330	873	1765
331	875	1762
332	877	1758
333	879	1754
334	882	1751
335	884	1747
336	886	1744
337	888	1740
338	891	1737
339	893	1733
340	895	1730
341	897	1727
342	900	1723
343	902	1720
344	904	1717
345	906	1713
346	908	1710
347	911	1707
348	913	1703
349	915	1700
350	917	1696
351	920	1693
352	922	1690
353	924	1686
354	926	1683
355	928	1680
356	930	1676
357	933	1673
358	935	1669
359	937	1667
360	939	1663
361	942	1660
362	944	1657
363	946	1654
364	948	1650
365	950	1647
366	953	1644
367	955	1640
368	957	1637
369	959	1634
370	962	1631
371	964	1627
372	966	1624
373	974	1630
374	976	1627
375	978	1624
376	981	1621
377	983	1618
378	985	1614
379	987	1611
380	989	1608
381	992	1604
382	994	1601
383	996	1598
384	998	1594
385	1000	1591
386	1002	1588
387	1004	1585
388	1007	1582
389	1009	1578
390	1011	1575
391	1013	1572
392	1015	1569
393	1018	1565
394	1020	1562
395	1022	1559
396	1024	1556
397	1026	1552
398	1028	1549
399	1030	1546
400	1033	1543
401	1035	1539
402	1037	1536
403	1039	1533
404	1041	1530
405	1043	1527
406	1046	1524
407	1048	1521
408	1050	1518
